,entity id,alias,synonyms,scientific name,category,molecules
21,22,weinbrand brandy,Weinbrand Brandy,vitis vinifera,beverage alcoholic,"{62465, 263, 5364231, 8073, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 6584, 5363388, 957, 8892, 10430, 637758, 7361, 7362, 24516, 7749, 326, 61386, 460, 14286, 7762, 8025, 1119, 10976, 8038, 7654, 11902, 77932, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126}"
22,23,gin,Gin,juniperus communis,beverage alcoholic,"{1031, 644104, 31253, 31260, 8094, 6560, 7460, 8294, 8103, 6054, 1130, 643820, 14896, 6584, 31289, 6202, 6654}"
23,24,rum,Rum,saccharum,beverage alcoholic,"{229888, 62465, 8194, 31234, 229377, 12293, 1031, 644104, 429065, 12810, 61450, 31242, 12813, 1032, 527, 31249, 31251, 31252, 5283349, 31253, 1049, 31260, 7710, 7711, 31265, 4133, 12327, 31272, 9256, 31276, 14896, 31283, 60979, 60983, 31289, 6202, 7749, 5284421, 11335, 7755, 12367, 7762, 7765, 7770, 18522, 83036, 7772, 7775, 1130, 62572, 20083, 7795, 7284, 17525, 7799, 7800, 7797, 8314, 7803, 126, 10882, 10885, 10886, 135, 8842, 62092, 10895, 61586, 8858, 1183, 5281, 9895, 679, 14505, 7341, 8365, 7342, 7344, 177, 14514, 26808, 22201, 8892, 10430, 3776, 7362, 735940, 445639, 17100, 10957, 8908, 1549521, 8914, 7895, 6874, 26334, 10976, 1549026, 16617, 7409, 11508, 11509, 11005, 18686, 7938, 11527, 264, 7945, 18698, 263, 61712, 8468, 16666, 284, 798, 11552, 12580, 7462, 7976, 12587, 3893, 5366074, 5282108, 637758, 2879, 27457, 12613, 17739, 332, 7501, 335, 170833, 338, 6998, 342, 8025, 22873, 8038, 11622, 16237, 878, 22386, 8051, 8052, 379, 569214, 16255, 13187, 12170, 18827, 6549, 2969, 8091, 8093, 8094, 6560, 6561, 6054, 8103, 12209, 62900, 16821, 7095, 6584, 853433, 8122, 957, 6590, 8129, 12230, 454, 61384, 5318599, 61386, 8139, 460, 8655, 24020, 14296, 985, 61400, 8158, 8159, 637920, 11747, 8163, 7655, 7144, 12777, 7658, 12266, 8180, 31225, 31226, 6654}"
24,25,whisky,Whisky,maize,beverage alcoholic,"{62465, 8193, 7937, 7938, 12293, 644104, 1032, 31242, 7945, 527, 31249, 31251, 31252, 8468, 73750, 31260, 284, 7710, 7711, 31265, 12327, 7976, 31276, 7728, 31283, 3893, 31289, 6202, 5366074, 25915, 5282108, 638014, 7749, 5284421, 10823, 12613, 7501, 12366, 335, 7762, 7765, 342, 61015, 612, 8038, 1130, 519786, 19310, 7797, 7799, 7800, 1146, 8314, 379, 637566, 569214, 16255, 10882, 650, 62092, 445070, 61586, 14228, 8094, 1183, 6560, 5281, 6561, 6054, 8103, 8365, 7342, 7344, 7351, 26808, 22201, 6584, 8122, 8892, 957, 10430, 6590, 7361, 7362, 12230, 445639, 61386, 8908, 460, 8655, 61137, 7165, 24020, 14296, 985, 26331, 26334, 8158, 11747, 996, 7654, 16617, 62445, 8174, 3314, 11508, 8180, 11005}"
25,26,bourbon whisky,Bourbon Whisky,corn,beverage alcoholic,"{62465, 8193, 7937, 7938, 12293, 1031, 1032, 264, 31242, 7945, 18698, 527, 31249, 31251, 31252, 8468, 73750, 31260, 284, 7710, 7711, 31265, 12327, 7976, 31276, 14896, 7728, 31283, 3893, 31289, 5366074, 25915, 5282108, 638014, 7749, 5284421, 10823, 12613, 7501, 12366, 335, 7762, 7765, 342, 61015, 612, 8038, 519786, 19310, 7797, 7799, 7800, 1146, 8314, 379, 637566, 569214, 16255, 10882, 650, 62092, 445070, 61586, 14228, 8094, 1183, 6560, 5281, 6561, 6054, 8103, 8365, 7342, 7344, 62900, 7351, 26808, 22201, 6584, 8122, 8892, 957, 10430, 6590, 7361, 7362, 8129, 12230, 445639, 61386, 8908, 460, 8655, 61137, 7165, 24020, 7895, 14296, 985, 26331, 26334, 8158, 11747, 996, 7654, 7144, 16617, 62445, 8174, 3314, 11508, 8180, 11005, 6654}"
26,27,canadian whisky,Canadian Whisky,corn,beverage alcoholic,"{62465, 8193, 7937, 7938, 12293, 1032, 7945, 31242, 527, 31249, 31251, 31252, 8468, 73750, 31260, 284, 7710, 7711, 31265, 12327, 7976, 31276, 7728, 31283, 3893, 31289, 5366074, 25915, 5282108, 638014, 7749, 5284421, 10823, 12613, 7501, 12366, 335, 7762, 7765, 342, 61015, 612, 8038, 519786, 19310, 7797, 7799, 7800, 1146, 8314, 379, 637566, 569214, 16255, 10882, 650, 62092, 445070, 61586, 14228, 8094, 1183, 6560, 5281, 6561, 6054, 8103, 8365, 7342, 7344, 7351, 26808, 22201, 6584, 8122, 8892, 957, 10430, 6590, 7361, 7362, 12230, 445639, 61386, 8908, 460, 8655, 61137, 7165, 24020, 14296, 985, 26331, 26334, 8158, 11747, 996, 7654, 16617, 62445, 8174, 3314, 11508, 8180, 11005}"
27,28,finnish whisky,Finnish Whisky,maize,beverage alcoholic,"{62465, 8193, 7937, 7938, 12293, 1032, 7945, 31242, 527, 31249, 31251, 31252, 8468, 73750, 1049, 31260, 284, 7710, 7711, 798, 31265, 31268, 12327, 7976, 31276, 7728, 31283, 3893, 31289, 5366074, 25915, 5282108, 638014, 7749, 5284421, 10823, 12613, 7501, 12366, 335, 7762, 7765, 342, 61015, 612, 8038, 519786, 19310, 1136, 7797, 7799, 7800, 1146, 8314, 379, 637566, 569214, 16255, 10882, 7047, 650, 62092, 445070, 61586, 7059, 14228, 8094, 1183, 6560, 5281, 6561, 6054, 8103, 520108, 8365, 7342, 7344, 7351, 26808, 22201, 6584, 8122, 8892, 957, 10430, 6590, 7361, 7362, 12230, 445639, 61386, 8908, 460, 8655, 61137, 7165, 24020, 14296, 985, 26331, 26334, 8158, 11747, 996, 7654, 16617, 62445, 8174, 3314, 11508, 8180, 11005}"
28,29,japanese whisky,Japanese Whisky,maize,beverage alcoholic,"{62465, 8193, 7937, 7938, 12293, 1032, 7945, 31242, 527, 31249, 31251, 31252, 8468, 73750, 31260, 284, 7710, 7711, 6943, 31265, 12327, 7976, 31276, 7728, 31283, 3893, 31289, 5366074, 25915, 5282108, 638014, 7749, 5284421, 11335, 10823, 12613, 7501, 12366, 335, 7762, 7765, 6998, 61015, 342, 612, 8038, 519786, 19310, 7797, 7799, 7800, 1146, 8314, 379, 637566, 569214, 16255, 10882, 7047, 650, 62092, 445070, 61586, 7059, 14228, 8094, 1183, 6560, 5281, 6561, 6054, 8103, 8365, 7342, 7344, 177, 7351, 26808, 22201, 6584, 8122, 8892, 957, 10430, 6590, 7361, 7362, 12230, 445639, 61386, 8908, 460, 8655, 61137, 7165, 24020, 14296, 985, 26331, 26334, 8158, 11747, 996, 7654, 16617, 62445, 8174, 3314, 11508, 8180, 11005}"
29,30,malt whisky,Malt Whisky,maize,beverage alcoholic,"{62465, 8193, 12293, 1031, 1032, 31242, 85519, 527, 31249, 31251, 31252, 73750, 31260, 7710, 7711, 31265, 12327, 31276, 7728, 31283, 7222, 31289, 638014, 7749, 5284421, 11335, 10823, 12366, 12367, 7761, 7762, 8785, 7765, 61015, 7775, 7267, 612, 519786, 7797, 7799, 7800, 1146, 8314, 7803, 637566, 10882, 10883, 24197, 650, 62092, 445070, 61586, 61592, 1183, 5281, 8365, 7342, 7344, 14514, 7351, 26808, 22201, 8892, 10430, 7361, 7362, 445639, 18635, 8908, 10448, 61137, 26331, 26334, 61663, 61664, 16617, 3314, 11508, 11005, 14079, 61185, 7938, 7937, 7945, 8468, 284, 12580, 7976, 3893, 5366074, 25915, 5282108, 7997, 12613, 17739, 7501, 335, 342, 8038, 19310, 8051, 379, 569214, 16255, 13187, 14228, 8094, 6560, 6561, 6054, 8103, 12209, 6584, 8122, 957, 6590, 12230, 61384, 61386, 460, 8655, 24020, 14296, 985, 8158, 8159, 11747, 996, 7654, 62445, 8174, 8180, 7165}"
30,31,scotch whisky,Scotch,maize,beverage alcoholic,"{62465, 8193, 7937, 7938, 12293, 1031, 1032, 7945, 31242, 527, 31249, 31251, 31252, 8468, 73750, 1049, 31260, 284, 7710, 7711, 31265, 4133, 12327, 7976, 31276, 7728, 31283, 3893, 31289, 5366074, 25915, 5282108, 638014, 2879, 7749, 5284421, 10823, 12613, 7501, 12366, 5365069, 335, 7762, 7765, 342, 61015, 7267, 612, 8038, 519786, 61293, 19310, 22386, 7795, 7797, 7799, 7800, 1146, 8314, 379, 637566, 569214, 8063, 16255, 10882, 7047, 650, 62092, 445070, 61586, 14228, 8094, 1183, 6560, 5281, 6561, 6054, 8103, 8365, 7342, 7344, 177, 12209, 62900, 8375, 26808, 22201, 7351, 6584, 8892, 8122, 10430, 957, 3776, 7361, 7362, 6590, 12230, 445639, 12232, 61386, 8908, 460, 8655, 61137, 7165, 24020, 14296, 985, 26331, 26334, 8158, 11747, 996, 7654, 7144, 16617, 62445, 8174, 3314, 11508, 8180, 11005}"
